storeProvince,storeCity,storeArea,storeAreaCn,storeName,storeAddress,storeBrandManage,storeBusinessHours,storeContactName,storeContactPhone,storeIPaddress,storeId,location,storeNo,storePhone,storePrecision,storePublish,storeState,storeTimestamp,storeZip,useCard,hasBreakfast,storeAddtime
辽宁省,沈阳市,东北区,,一方广场,沈阳市沈河区文化路81号一方广场一楼F103汉堡王餐厅,,10:00-21:30,,,116.226.190.240,485,"41.7708999,123.43694",22640,024-31211070,,1,1,1467881575,,1,1,2016/7/7 16:52
辽宁省,沈阳市,东北区,,沈阳金融中心购物广场,沈阳市沈河区哈尔滨路168号FTC金融中心购物广场一楼汉堡王,,10:00-21:00,,,101.81.224.100,582,"41.8116799,123.43523",23034,024-81064346,,1,1,1479116670,,1,1,2016/11/14 17:44
辽宁省,沈阳市,东北区,北区,沈阳三好街,沈阳市三好街55号沈阳信息产业大厦B座一层,汉堡王（北京）餐饮管理有限公司,7:00-20:00,王松林,15940235901,116.226.190.240,175,"41.7702299,123.42819",20738,024-23988558,,1,1,1464157635,110000,1,0,2016/5/25 14:27
辽宁省,沈阳市,东北区,,沈阳北行,辽宁省沈阳市皇姑区长江街110号(2门),,10:00-22:00,,,116.231.55.83,630,"41.8288701,123.4119178",23150,024-86086830,,1,1,1484643235,,1,0,2017/1/17 16:53
辽宁省,沈阳市,东北区,,沈阳玖伍文化城,辽宁省沈阳市和平区太原北街95号L1层21-22号商铺、2F层18号商铺,,9:30--21:30,,,114.91.72.76,1177,"41.79295,123.4019897",26667,024-81064136,,1,1,1550820651,,1,0,2019/2/22 15:30
辽宁省,沈阳市,东北区,,沈阳火车站,辽宁省沈阳市铁西区沈阳站西广场候车室3楼北侧,,10:00-22:00 ,,,101.81.224.100,567,"41.7970979,123.3920359",22951,024-67752558,,1,1,1476414958,,0,0,2016/10/14 11:15
辽宁省,沈阳市,东北区,北区,沈阳环宇城,辽宁省沈阳市皇姑区塔湾街11号甲111-1、212-1商铺沈阳中海环宇城A1座一层汉堡王餐厅（&nbsp;&nbsp;环塔湾街与昆山西路交汇处）,汉堡王（北京）餐饮管理有限公司,10:00-22:00,杜玥,18624094890,116.226.190.240,174,"41.8279999,123.3764",20400,024-31652678,,1,1,1464148521,110000,1,1,2016/5/25 11:55
辽宁省,沈阳市,东北区,北区,沈阳星摩尔,沈阳市铁西区北二中路6号星摩尔沈阳购物广场GB-06,汉堡王（北京）餐饮管理有限公司,10:00-22:00,张海冬,15940555200,116.226.190.240,170,"41.8081699,123.37425",19391,024-31220259,,1,1,1464146431,110000,1,0,2016/5/25 11:20
辽宁省,沈阳市,东北区,北区,沈阳星摩尔2店,沈阳市铁西区兴华街北二中路6号沈阳星摩尔购物中心三楼,汉堡王（北京）餐饮管理有限公司,10:00-22:00,何微,13840509522,116.226.190.240,171,"41.8081699,123.37425",20009,024-31085872,,1,1,1464147702,110000,1,0,2016/5/25 11:41
辽宁省,沈阳市,东北区,,沈阳碧桂园银河商业广场,沈阳市于洪区汪河路99号碧桂园银河商业广场1楼108,,8:00-21:00,,,101.85.196.9,276,"41.7513807,123.3453231",21666,024-29353937                  ,,1,1,1463896503,,1,1,2016/5/22 13:55
辽宁省,沈阳市,东北区,,天空之城餐厅,辽宁省沈阳市铁西区建设中路52号天空之城1006号,,9:00-21:00,,,114.93.68.111,1002,"41.7631595,123.3207796",26236,,,1,1,1728881699,,1,0,2024/10/14 12:54
辽宁省,沈阳市,东北区,,沈阳太阳狮,沈阳经济开发区14号路太阳狮星悦荟一层汉堡王,,10:00-19:00,,,180.153.219.16,739,"41.7614929,123.2730589",23637,024-31017317,,1,1,1502180012,,1,0,2017/8/8 16:13
辽宁省,沈阳市,东北区,,沈阳太阳狮,沈阳经济开发区14号路太阳狮星悦荟一层汉堡王,,10:00-19:00,,,116.231.53.212,749,"41.7614929,123.2730589",23637,024-31017317,,1,1,1504687069,,1,0,2017/9/6 16:37
辽宁省,抚顺市,东北区,,抚顺印象新城,抚顺市顺城区城东六方块印象新城L1-008 ,,10:00~20:00,,,101.85.196.9,243,"41.8812899,123.95398",20872,024-57637872        ,,1,1,1463891352,,1,1,2016/5/22 12:29
辽宁省,本溪市,东北区,,本溪万达,辽宁省本溪市平山区平山路118栋万达广场一楼1032号汉堡王餐厅,,9:30-22:00,顾媛,,183.131.109.162,1323,"41.2861799,123.77222",27880,024-42912999,,1,1,1573121080,,1,0,2019/11/7 18:04
辽宁省,鞍山市,东北区,,鞍山新玛特,辽宁省鞍山市铁东区胜利南路42号D02 ,,9:00—22:00,,,116.226.190.240,398,"41.11222,122.99661",20982,0412-6379999,,1,1,1463989409,,1,0,2016/5/23 15:43
辽宁省,丹东市,东北区,,丹东万达,丹东市振兴区锦山大街298号万达广场2号门1,,10:00-22:00,,,101.81.224.100,447,"40.1107401,124.36629",22564,0415-22651689,,1,1,1476346515,,1,1,2016/10/13 16:15
辽宁省,大连市,东北区,,大连吉购餐厅,大连市开发区润海园68号吉购超市汉堡王,,9:00-21:00,,,116.233.51.78,5931,"39.0348992,121.751664",29171,15042449839,,1,1,1630919181,,1,0,2021/9/6 17:06
辽宁省,大连市,东北区,,大连栢都荟,大连市金州区光明街道胜利路180号栢都荟购物广场一楼,,7:00-21:00,,,116.226.189.106,879,"39.0973938,121.7123404",24949,0411-62943563,,1,1,1516847499,,1,0,2018/1/25 10:31
辽宁省,大连市,东北区,,大连时光海,辽宁省大连市金州开发区红星海A区远洋时光海159号一层汉堡王,,8:00-21:00,,,116.231.53.212,723,"39.0942188,121.6901501",24021,0411-66326427    ,,1,1,1499323909,,1,1,2017/7/6 14:51
辽宁省,大连市,东北区,北区,大连人民路,辽宁省大连市中山区人民路12号之01室汉堡王餐厅,汉堡王（北京）餐饮管理有限公司,6:30-21:00,王威,13478536644,116.226.190.240,188,"38.9226851,121.646907",20412,0411-62886533,,1,1,1464148903,116000,1,1,2016/5/25 12:01
辽宁省,大连市,东北区,,大连明秀山庄,大连市中山区秀月街370-1汉堡王餐厅,,8:00-20:00,,,101.85.196.9,304,"38.8760792,121.6460163",21936, 0411-88801327      ,,1,1,1463898653,,1,1,2016/5/22 14:30
辽宁省,大连市,东北区,北区,大连百年奥特莱斯,辽宁省大连市西岗区香炉礁海顺街101A-7号,汉堡王（北京）餐饮管理有限公司,9:30-21:00,张良,18941331035,116.226.190.240,189,"38.9452801,121.61552",20429,0411-62630402               ,,1,1,1464254242,116000,1,0,2016/5/26 17:17
辽宁省,大连市,东北区,,大连悦荟广场,辽宁省大连市西岗区中山路291号悦荟广场汉堡王餐厅,,9:00-21:00,,,101.81.224.100,580,"38.9105601,121.60828",22934,0411-66875818,,1,1,1479116571,,1,1,2016/11/14 17:42
辽宁省,大连市,东北区,北区,大连亿合城,辽宁省大连市甘井子区中华西路21号大连亿合城YB10009,汉堡王（北京）餐饮管理有限公司,8:00-21:00,姜愿君,13591116985,116.226.190.240,190,"38.9898501,121.59124",20850,0411-39587592,,1,1,1464157873,116000,1,1,2016/5/25 14:31
辽宁省,大连市,东北区,,大连凯德和平广场,辽宁省大连市沙河口区高尔基路675号1层4号01层85号,,9:00-21:00,,,114.93.215.90,6302,"38.89735,121.58847",31715,0411-82660536,,1,1,1746976515,,1,0,2025/5/11 23:15
辽宁省,大连市,东北区,,大连大潮乐园,辽宁省大连市沙河口区西安路22-38号FIS02号,,7:00-20:00,,,101.80.69.240,6061,"38.9154334,121.5882842",29609,0411-62391981,,1,1,1662380970,,1,1,2022/9/5 20:29
辽宁省,大连市,东北区,,熊洞街,辽宁省大连市沙河口区西南路888号冰山慧谷D4栋X126,,10:00-21:00,,,101.88.227.221,6142,"38.9400974,121.5805723",30725,0411-83765020,,1,1,1676193938,,1,0,2023/2/12 17:25
辽宁省,大连市,东北区,北区,大连尖山街,辽宁省大连市沙河口区尖山街106号富丽庭购物中心一层,汉堡王（北京）餐饮管理有限公司,6:30-21:00,谢杭哲（代理）,13898453713,116.226.190.240,191,"38.8761775,121.5580296",21034,0411-83735159,,1,1,1464249948,116021,1,1,2016/5/26 16:05
辽宁省,大连市,东北区,,大连软景中心,辽宁省大连软件园路1A-5号软景中心5号楼一楼,,9:00-21:00,,,116.226.188.102,508,"38.887414,121.5400892",22731,0411-39990960,,1,1,1470815300,,1,1,2016/8/10 15:48
辽宁省,大连市,东北区,北区,虹韵路,大连市甘井子区虹韵路193号亿家缘生活广场2#楼2-1-1号一楼,汉堡王（北京）餐饮管理有限公司,8:00-20:00,李晓娟,13591145418,116.226.190.240,192,"38.9506414,121.5301776",21043,0411-39729007,,1,1,1464158639,116000,1,1,2016/5/25 14:43
辽宁省,大连市,东北区,,大连哈弗世纪广场,辽宁省大连市高新园区广贤路6-6号哈佛世纪广场一层 ,,7:00-21:00,,,101.85.196.9,334,"38.8764601,121.51854",22072,0411-3977-0560,,1,1,1463903335,,1,1,2016/5/22 15:48
辽宁省,大连市,东北区,,大连腾飞软件园,辽宁省大连市甘井子区汇贤园1A-1号6单元,,7:00-19:00,,,101.244.237.192,1186,"38.8458996,121.510769",26882,0411-66326454,,1,1,1558410185,,1,1,2019/5/21 11:43
辽宁省,大连市,东北区,,大连天地软件园餐厅,大连市高新技术产业区龙王塘街道黄泥川村宏川东路9号智荟天地1F-115室,,07:00-19:00,,,183.131.109.162,1287,"38.8586798,121.445428",27499,,,1,1,1570678849,,1,1,2019/10/10 11:40
辽宁省,大连市,东北区,,大连旅顺口大华街,辽宁省大连市旅顺口区大华街10号,,11:00-18:00,,,101.88.227.221,6180,"38.8097401,121.266047",30727,0411-86366915,,1,1,1676197228,,1,1,2023/2/12 18:20
辽宁省,盘锦市,东北区,,盘锦万达,辽宁省盘锦市兴隆台区双兴南路71号万达广场一层,,9:30-21:30,,,101.81.224.100,542,"41.1004682,122.076867",22637,0427-2283339,,1,1,1476265896,,1,0,2016/10/12 17:51
辽宁省,盘锦市,东北区,,盘锦水游城,辽宁省盘锦市兴隆台区石油大街102号水游城一层,,9:30-21:00,,,116.226.188.102,506,"41.1238399,122.07374",22636,0427-2227232,,1,1,1470815075,,1,0,2016/8/10 15:44
吉林省,长春市,东北区,,王府井奥特莱斯,吉林省长春市净月区永顺路王府井奥特莱斯二层,,10:00-20:00,,,114.91.72.76,1174,"43.8036784,125.4515348",26598,0431-85899128,,1,1,1550820768,,1,0,2019/2/22 15:32
吉林省,长春市,东北区,,长春万豪,长春洋浦大街靠近吉林大路欧亚万豪购物中心 ,,8:00—21:00,,,116.226.190.240,395,"43.8790201,125.42372",20866,0431-82851722,,1,1,1463988823,,1,1,2016/5/23 15:33
吉林省,长春市,东北区,,长春迅驰,长春市净月区博学路1555号迅驰广场,,10:00—22:00,,,101.81.224.100,420,"43.8207502,125.41863",20957,0431-81905238         ,,1,1,1476345275,,1,1,2016/10/13 15:54
吉林省,长春市,东北区,,长春中东大市场,吉林省长春市南关区自由大路中东大市场7号门汉堡王,,09:30-20:00,,,101.80.69.240,6039,"43.8627281,125.392276",29458,0431-81953158,,1,1,1662379536,,1,0,2022/9/5 20:05
吉林省,长春市,东北区,,长春北湖吾悦广场,吉林省长春市北湖科技开发区长春北湖新城吾悦广场5号门汉堡王餐厅,,7:00-21:30,,,101.80.66.21,6081,"43.9705906,125.3862864",30413,,,1,1,1663488838,,1,1,2022/9/18 16:13
吉林省,长春市,东北区,,长春摩天活力城,吉林省长春市二道区卫星路1777号摩天活力城购物中心B1层,,10:00-21:30,,,114.91.72.76,1179,"43.8342301,125.38598",26597,0431-80518682,,1,1,1550820589,,1,0,2019/2/22 15:29
吉林省,长春市,东北区,北区,长春亚泰大街,长春市宽城区亚泰大街1138号中东新天地1楼汉堡王（&nbsp;&nbsp;中东城市广场-长春亚泰大街店M-23一层）,汉堡王（北京）餐饮管理有限公司,9:30-21:30 ,丁东昊,13478855538,114.95.110.108,179,"43.8991902,125.34388",20969,0431-88751660,,1,1,1621566010,130000,1,0,2021/5/21 11:00
吉林省,长春市,东北区,,长春活力城,吉林省长春市重庆路与大经路交汇活力城一层汉堡王 ,,7:00-22:00,,,114.95.110.108,310,"43.8915701,125.33389",22008,0431-81870636     ,,1,1,1621566043,,1,1,2021/5/21 11:00
吉林省,长春市,东北区,,长春中东奥莱,吉林省长春市九台北路与富城路交汇砂之船中东奥莱一层汉堡王,,9:30-21:00,,,114.95.110.108,789,"43.9449601,125.32939",24065,0431-85803578,,1,1,1621566111,,1,0,2021/5/21 11:01
吉林省,长春市,东北区,,长春钜城华亿,吉林省长春市南关区新明街与华庆路交汇钜城华亿商业体一层汉堡王,,周一到周五10:00-20:30/周六日9:30到20:30,,,101.80.69.240,6057,"43.7989348,125.3188702",29340,0431-80569030,,1,1,1662380578,,1,0,2022/9/5 20:22
吉林省,长春市,东北区,,欧亚新生活餐厅,吉林省长春市朝阳区延安大街99号欧亚新生活购物中心一楼,,10:00-22:00,,,180.153.219.16,734,"43.8618501,125.30435",24071,0431-82532960,,1,1,1502179633,,1,0,2017/8/8 16:07
吉林省,长春市,东北区,,欧亚商都,长春市朝阳区工农大路虎林路交汇欧亚商都C座新2号门汉堡王餐厅,,10:00-22:00,,,101.81.224.100,452,"43.8699601,125.30054",20171,0431-85659411  0431-85659811,,1,1,1476346391,,1,0,2016/10/13 16:13
吉林省,长春市,东北区,,长春欢乐城店,长春市高新区卫星路与前进大街交汇处欢乐城一号门一楼,,10:00-22:00,,,101.81.224.100,465,"43.8198262,125.25842",22088,17743137845,,1,1,1476346063,,1,0,2016/10/13 16:07
吉林省,长春市,东北区,,长春活力汇,长春市高新区磐谷西路与华光街交汇活力汇购物中心一层汉堡王餐厅,,7:30-21:30,,,101.81.78.224,831,"43.8220757,125.2519324",24901,0431-81138220,,1,1,1513848375,,1,0,2017/12/21 17:26
